depSM,prDM,c0S/m,t090C,svCM,flECO-AFL,sbeox0ML/L,oxsatML/L,flag,Sal00,TraceID,folderpath_filename
25.465,25.825,3.155426,22.9523,1524.87,0.0295,4.65667,7.2008,0.0,34.0302,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
26.059,26.424,3.15397,22.9261,1524.85,0.011,4.62145,7.20764,0.0,34.0166,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
26.481,26.848,3.151013,22.865,1524.75,0.0062,4.63078,7.1874,0.0,34.0457,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
27.054,27.426,3.149321,22.818,1524.63,0.0203,4.61784,7.20528,0.0,34.0209,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
27.509,27.884,3.147005,22.834,1524.73,0.026,4.62388,7.20153,0.0,34.0201,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
28.0,28.379,3.146945,22.7702,1524.58,0.0341,4.62348,7.20803,0.0,34.0431,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
28.523,28.905,3.14411,22.7515,1524.49,0.0307,4.60562,7.20561,0.0,34.0235,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
28.983,29.368,3.139231,22.7205,1524.38,0.0438,4.59172,7.19785,0.0,34.0084,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
29.536,29.925,3.139089,22.6635,1524.34,0.043,4.58693,7.20592,0.0,34.0292,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
29.988,30.381,3.138401,22.6339,1524.32,0.0415,4.59645,7.1983,0.0,34.0264,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
30.467,30.863,3.133898,22.5617,1524.21,0.0499,4.56505,7.20242,0.0,34.0328,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
30.978,31.378,3.130203,22.5393,1524.05,0.0396,4.5694,7.20345,0.0,34.018,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
31.508,31.912,3.132951,22.5042,1524.19,0.0548,4.57239,7.19946,0.0,34.0381,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
32.023,32.431,3.131284,22.4845,1524.03,0.0697,4.5517,7.20005,0.0,34.0284,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
32.559,32.971,3.127604,22.4262,1523.89,0.072,4.54594,7.20201,0.0,34.0346,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
32.979,33.394,3.126337,22.4259,1523.93,0.0596,4.56983,7.2002,0.0,34.0299,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
33.503,33.922,3.123127,22.3401,1523.75,0.0713,4.55595,7.19133,0.0,34.0302,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
34.035,34.458,3.122473,22.345,1523.75,0.0651,4.55109,7.20634,0.0,34.0357,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
34.505,34.931,3.122288,22.2947,1523.72,0.0758,4.54037,7.20087,0.0,34.0453,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
35.02,35.45,3.114979,22.212,1523.51,0.0822,4.52362,7.21162,0.0,34.0443,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
35.51,35.944,3.116801,22.2312,1523.53,0.097,4.52727,7.20579,0.0,34.0327,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
36.053,36.491,3.114598,22.2023,1523.47,0.0935,4.52774,7.20531,0.0,34.0342,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
36.508,36.949,3.1096,22.1203,1523.33,0.0951,4.5052,7.20517,0.0,34.0314,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
36.97,37.414,3.110734,22.107,1523.36,0.0914,4.51699,7.19758,0.0,34.0491,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
37.545,37.993,3.110248,22.0589,1523.23,0.1099,4.50184,7.19943,0.0,34.0554,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
37.984,38.435,3.106985,22.0322,1523.12,0.1188,4.51398,7.19892,0.0,34.0482,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
38.482,38.937,3.105606,21.9856,1523.1,0.1285,4.49537,7.19081,0.0,34.0373,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
39.0,39.459,3.10267,21.9668,1523.05,0.1319,4.49066,7.19888,0.0,34.0484,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
39.481,39.943,3.098697,21.902,1522.89,0.1283,4.49261,7.1976,0.0,34.0364,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
40.036,40.502,3.09645,21.8615,1522.84,0.1593,4.46486,7.20677,0.0,34.0503,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
40.486,40.956,3.09355,21.8357,1522.83,0.1636,4.46815,7.20391,0.0,34.0402,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
41.037,41.51,3.094858,21.794,1522.72,0.1476,4.45523,7.19063,0.0,34.0705,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
41.505,41.982,3.089701,21.724,1522.6,0.1767,4.46484,7.1931,0.0,34.044,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
41.979,42.459,3.09065,21.7378,1522.58,0.18,4.45434,7.19521,0.0,34.0411,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
42.531,43.016,3.088834,21.6525,1522.51,0.1846,4.42378,7.20165,0.0,34.0802,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
43.013,43.501,3.088469,21.6401,1522.45,0.2087,4.44156,7.20394,0.0,34.0652,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
43.553,44.045,3.079252,21.5402,1522.18,0.2121,4.42245,7.20062,0.0,34.0392,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
44.046,44.542,3.082105,21.5661,1522.29,0.2334,4.42141,7.20652,0.0,34.0555,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
44.525,45.024,3.079606,21.5249,1522.2,0.2176,4.42075,7.19633,0.0,34.0565,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
44.987,45.49,3.076413,21.4454,1522.05,0.2431,4.41927,7.19688,0.0,34.0723,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
45.492,45.998,3.076436,21.4305,1522.09,0.2575,4.4326,7.19043,0.0,34.0625,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
45.997,46.507,3.072237,21.3895,1521.92,0.2625,4.42179,7.19735,0.0,34.0466,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
46.561,47.075,3.075062,21.3542,1522.01,0.2731,4.40166,7.20901,0.0,34.0899,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
47.007,47.525,3.071448,21.3106,1521.74,0.2864,4.39302,7.20236,0.0,34.0853,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
47.541,48.062,3.067368,21.2423,1521.56,0.3214,4.39169,7.19508,0.0,34.0779,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
48.062,48.587,3.063694,21.2218,1521.56,0.3113,4.38872,7.19544,0.0,34.0672,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
48.506,49.034,3.062197,21.1875,1521.41,0.3271,4.38155,7.20521,0.0,34.0683,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
49.05,49.582,3.06094,21.1593,1521.45,0.363,4.38769,7.19714,0.0,34.0755,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
49.489,50.025,3.061174,21.1102,1521.37,0.3704,4.37508,7.20209,0.0,34.0876,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
50.061,50.601,3.056433,21.0579,1521.25,0.395,4.383,7.1996,0.0,34.0794,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
50.533,51.076,3.052168,21.0103,1521.1,0.4001,4.34472,7.20038,0.0,34.0577,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
50.989,51.536,3.052384,20.9649,1521.04,0.4146,4.34081,7.20257,0.0,34.0761,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
51.541,52.091,3.050248,20.9247,1520.89,0.4394,4.34514,7.18793,0.0,34.0773,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
52.025,52.579,3.046959,20.9094,1520.96,0.4423,4.34026,7.19768,0.0,34.0694,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
52.532,53.089,3.048431,20.8538,1520.84,0.4617,4.33466,7.19781,0.0,34.1024,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
53.0,53.561,3.042806,20.7809,1520.64,0.4866,4.32361,7.19668,0.0,34.0784,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
53.568,54.133,3.041415,20.7738,1520.63,0.5005,4.32258,7.20633,0.0,34.078,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
54.053,54.622,3.040048,20.7402,1520.59,0.5181,4.30832,7.20227,0.0,34.078,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
54.523,55.095,3.036038,20.6577,1520.47,0.5334,4.31336,7.19656,0.0,34.0901,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
55.05,55.626,3.035275,20.6759,1520.38,0.5559,4.2906,7.19005,0.0,34.077,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
55.516,56.095,3.033551,20.5976,1520.3,0.5585,4.2814,7.20205,0.0,34.1014,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
56.065,56.649,3.03112,20.5476,1520.19,0.5735,4.30573,7.19603,0.0,34.0933,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
56.541,57.128,3.030708,20.5391,1520.22,0.6184,4.28666,7.20909,0.0,34.0923,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
57.04,57.63,3.027203,20.473,1520.1,0.6278,4.29403,7.20038,0.0,34.1079,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
57.519,58.113,3.023784,20.4213,1519.94,0.6352,4.2661,7.20422,0.0,34.0985,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
58.017,58.614,3.019009,20.3833,1519.84,0.6558,4.26114,7.20508,0.0,34.0927,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
58.495,59.096,3.019962,20.377,1519.88,0.6805,4.25967,7.19959,0.0,34.0946,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
58.992,59.597,3.016551,20.2891,1519.62,0.6893,4.27118,7.20055,0.0,34.096,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
59.499,60.107,3.019227,20.3082,1519.83,0.7104,4.24544,7.1963,0.0,34.1103,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
60.024,60.636,3.009796,20.2097,1519.46,0.7436,4.25244,7.20783,0.0,34.0971,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
60.488,61.104,3.011874,20.1843,1519.51,0.7431,4.2541,7.19072,0.0,34.1027,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
61.011,61.63,3.011034,20.1364,1519.41,0.7653,4.25239,7.20967,0.0,34.1248,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
61.518,62.141,3.006233,20.0897,1519.21,0.7976,4.2373,7.20252,0.0,34.1099,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
62.068,62.695,3.004866,20.0723,1519.14,0.7967,4.24709,7.19669,0.0,34.1063,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
62.519,63.15,3.005165,20.0254,1519.18,0.8182,4.22866,7.1959,0.0,34.1177,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
62.999,63.633,3.001991,19.9989,1519.04,0.8338,4.21507,7.19792,0.0,34.1167,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
63.553,64.191,2.997011,19.9058,1518.78,0.8503,4.23257,7.20432,0.0,34.1077,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
63.992,64.634,2.996081,19.8967,1518.96,0.873,4.20229,7.19888,0.0,34.1239,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
64.509,65.154,2.991416,19.839,1518.65,0.8863,4.21286,7.20786,0.0,34.0994,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
65.005,65.654,2.989064,19.7549,1518.54,0.8939,4.19626,7.19311,0.0,34.1118,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
65.54,66.193,2.986934,19.7253,1518.46,0.9158,4.18694,7.1988,0.0,34.1231,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
66.042,66.698,2.985404,19.6691,1518.26,0.9388,4.1531,7.20373,0.0,34.1247,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
66.536,67.196,2.981935,19.6512,1518.36,0.9465,4.19669,7.19622,0.0,34.119,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
66.993,67.656,2.97939,19.601,1518.13,0.9643,4.17011,7.19803,0.0,34.1146,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
67.526,68.193,2.980475,19.5583,1518.14,0.9774,4.16886,7.1906,0.0,34.1192,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
68.047,68.718,2.975046,19.5121,1517.97,0.9906,4.15875,7.20148,0.0,34.1218,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
68.522,69.197,2.9733,19.4589,1517.95,1.0145,4.17468,7.20018,0.0,34.1209,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
69.052,69.73,2.971293,19.3982,1517.73,1.0168,4.1602,7.20519,0.0,34.1461,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
69.5,70.182,2.969704,19.4093,1517.74,1.0196,4.14369,7.19965,0.0,34.12,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
70.028,70.713,2.966767,19.3446,1517.5,1.0327,4.14566,7.18706,0.0,34.1267,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
70.507,71.196,2.964966,19.27,1517.36,1.0452,4.14141,7.20022,0.0,34.1404,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
71.016,71.708,2.963005,19.2681,1517.34,1.0527,4.15718,7.20034,0.0,34.1179,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
71.487,72.183,2.95816,19.2095,1517.27,1.0545,4.15042,7.21025,0.0,34.1158,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
72.003,72.703,2.958662,19.1695,1517.18,1.0594,4.14135,7.20038,0.0,34.1343,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
72.579,73.283,2.953413,19.0943,1517.02,1.0638,4.12231,7.1986,0.0,34.1396,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
73.085,73.793,2.950304,19.0431,1516.81,1.0838,4.13263,7.20501,0.0,34.1264,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
73.492,74.203,2.951194,19.0018,1516.84,1.0946,4.11348,7.20413,0.0,34.1492,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
74.0,74.715,2.949007,18.9835,1516.84,1.1003,4.09849,7.19705,0.0,34.1343,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
74.54,75.258,2.94628,18.9159,1516.62,1.084,4.10116,7.20104,0.0,34.1633,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
75.025,75.747,2.942079,18.8572,1516.56,1.1133,4.11343,7.19742,0.0,34.1479,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
75.499,76.224,2.940203,18.8378,1516.49,1.1052,4.09634,7.19978,0.0,34.1406,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
76.025,76.754,2.938208,18.8013,1516.23,1.099,4.09838,7.19683,0.0,34.1375,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
76.556,77.289,2.936612,18.7343,1516.27,1.0936,4.08102,7.20039,0.0,34.1505,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
